,date,open,high,low,close
0,2013-04-29,135.3,135.3,135.3,135.3
1,2013-04-30,141.96,141.96,141.96,141.96
2,2013-05-01,135.3,135.3,135.3,135.3
3,2013-05-02,117.0,117.0,117.0,117.0
4,2013-05-03,103.43,103.43,103.43,103.43
5,2013-05-04,91.01,91.01,91.01,91.01
6,2013-05-05,111.25,111.25,111.25,111.25
7,2013-05-06,116.79,116.79,116.79,116.79
8,2013-05-07,118.33,118.33,118.33,118.33
9,2013-05-08,106.4,106.4,106.4,106.4
10,2013-05-09,112.64,112.64,112.64,112.64
11,2013-05-10,113.0,113.0,113.0,113.0
12,2013-05-11,118.78,118.78,118.78,118.78
13,2013-05-12,113.01,113.01,113.01,113.01
14,2013-05-13,114.71,114.71,114.71,114.71
15,2013-05-14,117.18,117.18,117.18,117.18
16,2013-05-15,114.5,114.5,114.5,114.5
17,2013-05-16,114.16,114.16,114.16,114.16
18,2013-05-17,115.5,115.5,115.5,115.5
19,2013-05-18,123.1,123.1,123.1,123.1
20,2013-05-19,123.88,123.88,123.88,123.88
21,2013-05-20,120.5,120.5,120.5,120.5
22,2013-05-21,122.58,122.58,122.58,122.58
23,2013-05-22,122.9,122.9,122.9,122.9
24,2013-05-23,123.0,123.0,123.0,123.0
25,2013-05-24,125.75,125.75,125.75,125.75
26,2013-05-25,131.7,131.7,131.7,131.7
27,2013-05-26,130.77,130.77,130.77,130.77
28,2013-05-27,134.6,134.6,134.6,134.6
29,2013-05-28,128.99,128.99,128.99,128.99
30,2013-05-29,129.18,129.18,129.18,129.18
31,2013-05-30,132.13,132.13,132.13,132.13
32,2013-05-31,127.4,127.4,127.4,127.4
33,2013-06-01,127.98,127.98,127.98,127.98
34,2013-06-02,129.09,129.09,129.09,129.09
35,2013-06-03,121.3,121.3,121.3,121.3
36,2013-06-04,121.16,121.16,121.16,121.16
37,2013-06-06,121.31,121.31,121.31,121.31
38,2013-06-07,121.71,121.71,121.71,121.71
39,2013-06-08,119.0,119.0,119.0,119.0
40,2013-06-09,110.09,110.09,110.09,110.09
41,2013-06-10,108.4,108.4,108.4,108.4
42,2013-06-11,99.75,99.75,99.75,99.75
43,2013-06-12,105.99,105.99,105.99,105.99
44,2013-06-13,108.9,108.9,108.9,108.9
45,2013-06-14,108.4,108.4,108.4,108.4
46,2013-06-15,102.77,102.77,102.77,102.77
47,2013-06-16,98.4,98.4,98.4,98.4
48,2013-06-17,99.99,99.99,99.99,99.99
49,2013-06-18,100.42,100.42,100.42,100.42
50,2013-06-19,102.0,102.0,102.0,102.0
51,2013-06-20,106.55,106.55,106.55,106.55
52,2013-06-21,107.9,107.9,107.9,107.9
53,2013-06-22,110.91,110.91,110.91,110.91
54,2013-06-23,109.02,109.02,109.02,109.02
55,2013-06-24,107.25,107.25,107.25,107.25
56,2013-06-25,108.0,108.0,108.0,108.0
57,2013-06-26,102.44,102.44,102.44,102.44
58,2013-06-27,103.69,103.69,103.69,103.69
59,2013-06-28,103.39,103.39,103.39,103.39
60,2013-06-29,99.66,99.66,99.66,99.66
61,2013-06-30,93.33,93.33,93.33,93.33
62,2013-07-01,95.39,95.39,95.39,95.39
63,2013-07-02,97.5,97.5,97.5,97.5
64,2013-07-03,89.49,89.49,89.49,89.49
65,2013-07-04,90.8,90.8,90.8,90.8
66,2013-07-05,78.8,78.8,78.8,78.8
67,2013-07-06,78.48,78.48,78.48,78.48
68,2013-07-07,67.81,67.81,67.81,67.81
69,2013-07-08,68.08,68.08,68.08,68.08
70,2013-07-09,77.5,77.5,77.5,77.5
71,2013-07-10,76.39,76.39,76.39,76.39
72,2013-07-11,77.0,77.0,77.0,77.0
73,2013-07-12,85.75,85.75,85.75,85.75
74,2013-07-13,93.8,93.8,93.8,93.8
75,2013-07-14,88.06,88.06,88.06,88.06
76,2013-07-15,95.58,95.58,95.58,95.58
77,2013-07-16,94.0,94.0,94.0,94.0
78,2013-07-17,97.3,97.3,97.3,97.3
79,2013-07-18,98.98,98.98,98.98,98.98
80,2013-07-19,97.8,97.8,97.8,97.8
81,2013-07-20,88.79,88.79,88.79,88.79
82,2013-07-21,91.57,91.57,91.57,91.57
83,2013-07-22,89.28,89.28,89.28,89.28
84,2013-07-23,90.37,90.37,90.37,90.37
85,2013-07-24,91.7,91.7,91.7,91.7
86,2013-07-25,94.58,94.58,94.58,94.58
87,2013-07-26,94.53,94.53,94.53,94.53
88,2013-07-27,96.95,96.95,96.95,96.95
89,2013-07-28,94.13,94.13,94.13,94.13
90,2013-07-29,94.01,94.01,94.01,94.01
91,2013-07-30,98.58,98.58,98.58,98.58
92,2013-07-31,101.5,101.5,101.5,101.5
93,2013-08-01,110.34,110.34,110.34,110.34
94,2013-08-02,106.23,106.23,106.23,106.23
95,2013-08-03,101.61,101.61,101.61,101.61
96,2013-08-04,103.7,103.7,103.7,103.7
97,2013-08-05,104.86,104.86,104.86,104.86
98,2013-08-06,106.56,106.56,106.56,106.56
99,2013-08-07,105.84,105.84,105.84,105.84
100,2013-08-08,106.75,106.75,106.75,106.75
101,2013-08-09,101.67,101.67,101.67,101.67
102,2013-08-10,103.4,103.4,103.4,103.4
103,2013-08-11,102.71,102.71,102.71,102.71
104,2013-08-12,103.77,103.77,103.77,103.77
105,2013-08-13,105.18,105.18,105.18,105.18
106,2013-08-14,106.07,106.07,106.07,106.07
107,2013-08-15,111.62,111.62,111.62,111.62
108,2013-08-16,111.87,111.87,111.87,111.87
109,2013-08-17,109.87,109.87,109.87,109.87
110,2013-08-18,112.74,112.74,112.74,112.74
111,2013-08-19,114.4,114.4,114.4,114.4
112,2013-08-20,118.78,118.78,118.78,118.78
113,2013-08-21,120.5,120.5,120.5,120.5
114,2013-08-22,121.51,121.51,121.51,121.51
115,2013-08-23,122.5,122.5,122.5,122.5
116,2013-08-24,120.0,120.0,120.0,120.0
117,2013-08-25,120.44,120.44,120.44,120.44
118,2013-08-26,122.0,122.0,122.0,122.0
119,2013-08-27,122.04,122.04,122.04,122.04
120,2013-08-28,125.67,125.67,125.67,125.67
121,2013-08-29,123.02,123.02,123.02,123.02
122,2013-08-30,123.44,123.44,123.44,123.44
123,2013-08-31,129.2,129.2,129.2,129.2
124,2013-09-01,137.76,137.76,137.76,137.76
125,2013-09-02,138.17,138.17,138.17,138.17
126,2013-09-03,137.17,137.17,137.17,137.17
127,2013-09-04,137.51,137.51,137.51,137.51
128,2013-09-05,135.21,135.21,135.21,135.21
129,2013-09-06,129.96,129.96,129.96,129.96
130,2013-09-07,126.13,126.13,126.13,126.13
131,2013-09-08,123.73,123.73,123.73,123.73
132,2013-09-09,121.77,121.77,121.77,121.77
133,2013-09-10,126.4,126.4,126.4,126.4
134,2013-09-11,127.78,127.78,127.78,127.78
135,2013-09-12,131.65,131.65,131.65,131.65
136,2013-09-13,134.22,134.22,134.22,134.22
137,2013-09-14,135.05,135.05,135.05,135.05
138,2013-09-15,131.39,131.39,131.39,131.39
139,2013-09-16,129.95,129.95,129.95,129.95
140,2013-09-17,131.48,131.48,131.48,131.48
141,2013-09-18,131.31,131.31,131.31,131.31
142,2013-09-19,132.06,132.06,132.06,132.06
143,2013-09-20,130.23,130.23,130.23,130.23
144,2013-09-21,128.57,128.57,128.57,128.57
145,2013-09-22,126.78,126.78,126.78,126.78
146,2013-09-23,128.37,128.37,128.37,128.37
147,2013-09-24,126.73,126.73,126.73,126.73
148,2013-09-25,126.09,126.09,126.09,126.09
149,2013-09-26,127.99,127.99,127.99,127.99
150,2013-09-27,128.02,128.02,128.02,128.02
151,2013-09-28,131.84,131.84,131.84,131.84
152,2013-09-29,133.93,133.93,133.93,133.93
153,2013-09-30,140.28,140.28,140.28,140.28
154,2013-10-01,131.65,131.65,131.65,131.65
155,2013-10-02,132.55,132.55,132.55,132.55
156,2013-10-03,132.04,132.04,132.04,132.04
157,2013-10-04,123.07,123.07,123.07,123.07
158,2013-10-05,128.26,128.26,128.26,128.26
159,2013-10-06,129.57,129.57,129.57,129.57
160,2013-10-07,127.56,127.56,127.56,127.56
161,2013-10-08,128.38,128.38,128.38,128.38
162,2013-10-09,125.72,125.72,125.72,125.72
163,2013-10-10,130.9,130.9,130.9,130.9
164,2013-10-11,129.68,129.68,129.68,129.68
165,2013-10-12,130.27,130.27,130.27,130.27
166,2013-10-13,135.35,135.35,135.35,135.35
167,2013-10-14,135.48,135.48,135.48,135.48
168,2013-10-15,140.48,140.48,140.48,140.48
169,2013-10-16,143.89,143.89,143.89,143.89
170,2013-10-17,143.61,143.61,143.61,143.61
171,2013-10-18,146.15,146.15,146.15,146.15
172,2013-10-19,151.34,151.34,151.34,151.34
173,2013-10-20,170.51,170.51,170.51,170.51
174,2013-10-21,172.01,172.01,172.01,172.01
175,2013-10-22,181.41,181.41,181.41,181.41
176,2013-10-23,193.45,193.45,193.45,193.45
177,2013-10-24,206.78,206.78,206.78,206.78
178,2013-10-25,198.8,198.8,198.8,198.8
179,2013-10-26,172.48,172.48,172.48,172.48
180,2013-10-27,178.96,178.96,178.96,178.96
181,2013-10-28,189.83,189.83,189.83,189.83
182,2013-10-29,198.55,198.55,198.55,198.55
183,2013-10-30,204.39,204.39,204.39,204.39
184,2013-10-31,204.2,204.2,204.2,204.2
185,2013-11-01,203.88,203.88,203.88,203.88
186,2013-11-02,205.26,205.26,205.26,205.26
187,2013-11-03,206.89,206.89,206.89,206.89
188,2013-11-04,212.45,212.45,212.45,212.45
189,2013-11-05,226.28,226.28,226.28,226.28
190,2013-11-06,230.63,230.63,230.63,230.63
191,2013-11-07,260.85,260.85,260.85,260.85
192,2013-11-08,295.63,295.63,295.63,295.63
193,2013-11-09,332.02,332.02,332.02,332.02
194,2013-11-10,358.0,358.0,358.0,358.0
195,2013-11-11,313.0,313.0,313.0,313.0
196,2013-11-12,340.55,340.55,340.55,340.55
197,2013-11-13,355.48,355.48,355.48,355.48
198,2013-11-14,404.17,404.17,404.17,404.17
199,2013-11-15,408.84,408.84,408.84,408.84
200,2013-11-16,424.16,424.16,424.16,424.16
201,2013-11-17,437.41,437.41,437.41,437.41
202,2013-11-18,488.36,488.36,488.36,488.36
203,2013-11-19,580.87,580.87,580.87,580.87
204,2013-11-20,614.4,614.4,614.4,614.4
205,2013-11-21,565.34,565.34,565.34,565.34
206,2013-11-22,675.06,675.06,675.06,675.06
207,2013-11-23,731.15,731.15,731.15,731.15
208,2013-11-24,819.31,819.31,819.31,819.31
209,2013-11-25,764.43,764.43,764.43,764.43
210,2013-11-26,793.07,793.07,793.07,793.07
211,2013-11-27,832.93,832.93,832.93,832.93
212,2013-11-28,914.13,914.13,914.13,914.13
213,2013-11-29,979.08,979.08,979.08,979.08
214,2013-11-30,1101.83,1101.83,1101.83,1101.83
215,2013-12-01,1127.45,1127.45,1127.45,1127.45
216,2013-12-02,1033.39,1033.39,1033.39,1033.39
217,2013-12-03,974.03,974.03,974.03,974.03
218,2013-12-04,1078.64,1078.64,1078.64,1078.64
219,2013-12-05,1121.48,1121.48,1121.48,1121.48
220,2013-12-06,989.04,989.04,989.04,989.04
221,2013-12-07,1019.66,1019.66,1019.66,1019.66
222,2013-12-08,811.98,811.98,811.98,811.98
223,2013-12-09,743.11,743.11,743.11,743.11
224,2013-12-10,897.89,897.89,897.89,897.89
225,2013-12-11,927.78,927.78,927.78,927.78
226,2013-12-12,887.08,887.08,887.08,887.08
227,2013-12-13,878.17,878.17,878.17,878.17
228,2013-12-14,897.27,897.27,897.27,897.27
229,2013-12-15,866.99,866.99,866.99,866.99
230,2013-12-16,854.62,854.62,854.62,854.62
231,2013-12-17,789.15,789.15,789.15,789.15
232,2013-12-18,691.65,691.65,691.65,691.65
233,2013-12-19,559.36,559.36,559.36,559.36
234,2013-12-20,677.84,677.84,677.84,677.84
235,2013-12-21,694.25,694.25,694.25,694.25
236,2013-12-22,596.12,596.12,596.12,596.12
237,2013-12-23,650.27,650.27,650.27,650.27
238,2013-12-24,645.75,645.75,645.75,645.75
239,2013-12-25,659.94,659.94,659.94,659.94
240,2013-12-26,668.74,668.74,668.74,668.74
241,2013-12-27,734.59,734.59,734.59,734.59
242,2013-12-28,734.27,734.27,734.27,734.27
243,2013-12-29,738.81,738.81,738.81,738.81
244,2013-12-30,726.47,726.47,726.47,726.47
245,2013-12-31,760.52,760.52,760.52,760.52
246,2014-01-01,755.16,755.16,755.16,755.16
247,2014-01-02,767.74,767.74,767.74,767.74
248,2014-01-03,772.53,772.53,772.53,772.53
249,2014-01-04,825.47,825.47,825.47,825.47
250,2014-01-05,849.14,849.14,849.14,849.14
251,2014-01-06,919.41,919.41,919.41,919.41
252,2014-01-07,936.38,936.38,936.38,936.38
253,2014-01-08,826.5,826.5,826.5,826.5
254,2014-01-09,838.32,838.32,838.32,838.32
255,2014-01-10,853.29,853.29,853.29,853.29
256,2014-01-11,863.3,863.3,863.3,863.3
257,2014-01-12,905.72,905.72,905.72,905.72
258,2014-01-13,867.45,867.45,867.45,867.45
259,2014-01-14,840.96,840.96,840.96,840.96
260,2014-01-15,838.05,838.05,838.05,838.05
261,2014-01-16,860.44,860.44,860.44,860.44
262,2014-01-17,837.98,837.98,837.98,837.98
263,2014-01-18,812.9,812.9,812.9,812.9
264,2014-01-19,840.0,840.0,840.0,840.0
265,2014-01-20,838.17,838.17,838.17,838.17
266,2014-01-21,869.15,869.15,869.15,869.15
267,2014-01-22,869.57,869.57,869.57,869.57
268,2014-01-23,865.03,865.03,865.03,865.03
269,2014-01-24,846.97,846.97,846.97,846.97
270,2014-01-25,808.32,808.32,808.32,808.32
271,2014-01-26,804.39,804.39,804.39,804.39
272,2014-01-27,853.51,853.51,853.51,853.51
273,2014-01-28,891.86,891.86,891.86,891.86
274,2014-01-29,777.0,777.0,777.0,777.0
275,2014-01-30,816.85,816.85,816.85,816.85
276,2014-01-31,817.17,817.17,817.17,817.17
277,2014-02-01,817.93,817.93,817.93,817.93
278,2014-02-02,832.52,832.52,832.52,832.52
279,2014-02-03,836.41,836.41,836.41,836.41
280,2014-02-04,813.38,813.38,813.38,813.38
281,2014-02-05,832.36,832.36,832.36,832.36
282,2014-02-06,830.92,830.92,830.92,830.92
283,2014-02-07,805.08,805.08,805.08,805.08
284,2014-02-08,721.32,721.32,721.32,721.32
285,2014-02-09,701.61,701.61,701.61,701.61
286,2014-02-10,672.07,672.07,672.07,672.07
287,2014-02-11,689.65,689.65,689.65,689.65
288,2014-02-12,697.76,697.76,697.76,697.76
289,2014-02-13,655.26,655.26,655.26,655.26
290,2014-02-14,651.91,651.91,651.91,651.91
291,2014-02-15,623.57,623.57,623.57,623.57
292,2014-02-16,644.1,644.1,644.1,644.1
293,2014-02-17,613.85,613.85,613.85,613.85
294,2014-02-18,645.14,645.14,645.14,645.14
295,2014-02-19,625.01,625.01,625.01,625.01
296,2014-02-20,620.99,620.99,620.99,620.99
297,2014-02-21,593.89,593.89,593.89,593.89
298,2014-02-22,582.75,582.75,582.75,582.75
299,2014-02-23,571.06,571.06,571.06,571.06
300,2014-02-24,622.97,622.97,622.97,622.97
301,2014-02-25,572.39,572.39,572.39,572.39
302,2014-02-26,489.31,489.31,489.31,489.31
303,2014-02-27,567.25,567.25,567.25,567.25
304,2014-02-28,586.28,586.28,586.28,586.28
305,2014-03-01,567.2,567.2,567.2,567.2
306,2014-03-02,560.11,560.11,560.11,560.11
307,2014-03-03,561.35,561.35,561.35,561.35
308,2014-03-04,585.79,585.79,585.79,585.79
309,2014-03-05,675.0,675.0,675.0,675.0
310,2014-03-06,658.24,658.24,658.24,658.24
311,2014-03-07,654.55,654.55,654.55,654.55
312,2014-03-08,617.62,617.62,617.62,617.62
313,2014-03-09,610.37,610.37,610.37,610.37
314,2014-03-10,636.17,636.17,636.17,636.17
315,2014-03-11,621.17,621.17,621.17,621.17
316,2014-03-12,624.23,624.23,624.23,624.23
317,2014-03-13,638.07,638.07,638.07,638.07
318,2014-03-14,639.03,639.03,639.03,639.03
319,2014-03-15,629.67,629.67,629.67,629.67
320,2014-03-16,638.07,638.07,638.07,638.07
321,2014-03-17,629.55,629.55,629.55,629.55
322,2014-03-18,623.71,623.71,623.71,623.71
323,2014-03-19,612.62,612.62,612.62,612.62
324,2014-03-20,610.64,610.64,610.64,610.64
325,2014-03-21,592.07,592.07,592.07,592.07
326,2014-03-22,582.3,582.3,582.3,582.3
327,2014-03-23,561.22,561.22,561.22,561.22
328,2014-03-24,567.78,567.78,567.78,567.78
329,2014-03-25,571.42,571.42,571.42,571.42
330,2014-03-26,582.55,582.55,582.55,582.55
331,2014-03-27,584.44,584.44,584.44,584.44
332,2014-03-28,567.64,567.64,567.64,567.64
333,2014-03-29,503.66,503.66,503.66,503.66
334,2014-03-30,502.3,502.3,502.3,502.3
335,2014-03-31,469.94,469.94,469.94,469.94
336,2014-04-01,457.4,457.4,457.4,457.4
337,2014-04-02,478.72,478.72,478.72,478.72
338,2014-04-03,437.52,437.52,437.52,437.52
339,2014-04-04,447.08,447.08,447.08,447.08
340,2014-04-05,448.88,448.88,448.88,448.88
341,2014-04-06,464.83,464.83,464.83,464.83
342,2014-04-07,460.7,460.7,460.7,460.7
343,2014-04-08,457.79,457.79,457.79,457.79
344,2014-04-09,450.46,450.46,450.46,450.46
345,2014-04-10,440.2,440.2,440.2,440.2
346,2014-04-11,360.84,360.84,360.84,360.84
347,2014-04-12,420.06,420.06,420.06,420.06
348,2014-04-13,420.66,420.66,420.66,420.66
349,2014-04-14,414.95,414.95,414.95,414.95
350,2014-04-15,457.63,457.63,457.63,457.63
351,2014-04-16,520.12,520.12,520.12,520.12
352,2014-04-17,529.16,529.16,529.16,529.16
353,2014-04-18,494.4,494.4,494.4,494.4
354,2014-04-19,478.23,478.23,478.23,478.23
355,2014-04-20,501.55,501.55,501.55,501.55
356,2014-04-21,497.32,497.32,497.32,497.32
357,2014-04-22,492.67,492.67,492.67,492.67
358,2014-04-23,484.85,484.85,484.85,484.85
359,2014-04-24,487.53,487.53,487.53,487.53
360,2014-04-25,494.27,494.27,494.27,494.27
361,2014-04-26,458.81,458.81,458.81,458.81
362,2014-04-27,453.8,453.8,453.8,453.8
363,2014-04-28,437.92,437.92,437.92,437.92
364,2014-04-29,436.92,436.92,436.92,436.92
365,2014-04-30,443.27,443.27,443.27,443.27
366,2014-05-01,445.0,445.0,445.0,445.0
367,2014-05-02,455.09,455.09,455.09,455.09
368,2014-05-03,443.47,443.47,443.47,443.47
369,2014-05-04,434.03,434.03,434.03,434.03
370,2014-05-05,433.94,433.94,433.94,433.94
371,2014-05-06,429.08,429.08,429.08,429.08
372,2014-05-07,426.76,426.76,426.76,426.76
373,2014-05-08,439.3,439.3,439.3,439.3
374,2014-05-09,437.36,437.36,437.36,437.36
375,2014-05-10,447.49,447.49,447.49,447.49
376,2014-05-11,452.51,452.51,452.51,452.51
377,2014-05-12,436.28,436.28,436.28,436.28
378,2014-05-13,439.19,439.19,439.19,439.19
379,2014-05-14,437.31,437.31,437.31,437.31
380,2014-05-15,444.25,444.25,444.25,444.25
381,2014-05-16,444.25,444.25,444.25,444.25
382,2014-05-17,445.17,445.17,445.17,445.17
383,2014-05-18,445.85,445.85,445.85,445.85
384,2014-05-19,444.21,444.21,444.21,444.21
385,2014-05-20,443.87,443.87,443.87,443.87
386,2014-05-21,483.42,483.42,483.42,483.42
387,2014-05-22,488.77,488.77,488.77,488.77
388,2014-05-23,522.61,522.61,522.61,522.61
389,2014-05-24,524.48,524.48,524.48,524.48
390,2014-05-25,523.11,523.11,523.11,523.11
391,2014-05-26,569.38,569.38,569.38,569.38
392,2014-05-27,579.62,579.62,579.62,579.62
393,2014-05-28,569.48,569.48,569.48,569.48
394,2014-05-29,571.55,571.55,571.55,571.55
395,2014-05-30,565.26,565.26,565.26,565.26
396,2014-05-31,621.15,621.15,621.15,621.15
397,2014-06-01,620.5,620.5,620.5,620.5
